epoch,loss,accuracy,val_loss,val_acc,opt_time
0,2.94671410443831,0.15188,2.23542491197586,0.1717,0.034657559862251
1,1.97406466723771,0.18344,2.22375539521316,0.1791,0.0356251899847082
2,1.95390000027974,0.18519,2.22146011118268,0.1828,0.0354948976122526
3,1.93666408065198,0.18822,2.2179364822761,0.1882,0.0356333536530623
4,1.90623558308945,0.19309,2.20137405638061,0.1911,0.0369807862755166
5,1.92104443084809,0.19528,2.19832131202503,0.1976,0.0390435742092171
6,1.90806368584466,0.19733,2.17276818763832,0.2024,0.0390932631428453
7,1.89542360797818,0.2011,2.12521368506688,0.2048,0.0389840206530746
8,1.89049367617235,0.20348,2.11366629278765,0.2096,0.0391052968469532
9,1.8599383018143,0.20787,2.10321347607887,0.2066,0.0390612167958858
10,1.86105651122837,0.20968,2.09992671322766,0.2108,0.0393022904183676
11,1.84220066135501,0.21203,2.08992018079368,0.2155,0.039023310045919
12,1.83374519574694,0.21722,2.0793497466662,0.2227,0.0388895044642669
13,1.81723678372074,0.2212,2.07781816496269,0.2289,0.0389294251836798
14,1.80884594586392,0.22672,2.06244834801123,0.2307,0.0392106897397961
15,1.81195899761523,0.22883,2.06525596650232,0.2356,0.0390415655306219
16,1.79436677344466,0.2394,2.05884108382296,0.2409,0.0388575323826797
17,1.78015348148505,0.24222,2.05560577977105,0.2452,0.0390249447652993
18,1.77300186489918,0.25047,2.04914284687799,0.2624,0.0390714403520503
19,1.75724473377124,0.26066,2.04769107227981,0.2674,0.0389280069898052
20,1.76130084156983,0.26743,2.04093406755301,0.2671,0.0391715947652747
21,1.75559455927093,0.27259,2.00415160068263,0.2573,0.0389362801377627
22,1.74034826113987,0.27805,1.9863137037399,0.2776,0.0390869409744454
23,1.72076770690957,0.28129,1.95518680642414,0.2777,0.0394109143469543
24,1.70681852191178,0.28931,1.95223039350659,0.2911,0.0390994299693505
25,1.69044595544348,0.2948,1.94806521504353,0.2931,0.0392087929541299
26,1.68419405479876,0.29043,1.88599077896085,0.3,0.038978973959214
27,1.64978719329497,0.31415,1.86015248843642,0.3122,0.039023678734691
28,1.63054225550022,0.32161,1.85481389377069,0.3047,0.0388945629744637
29,1.60669420938321,0.33366,1.83216950924808,0.3441,0.0392482998724647
30,1.58653644683291,0.34824,1.82760361218088,0.3421,0.0388762225918619
31,1.57927817003035,0.35316,1.80148656252817,0.3311,0.0389600197347266
32,1.55535175864313,0.35943,1.76244078067158,0.3556,0.0389294228316337
33,1.53376217976434,0.36557,1.77389443920388,0.3531,0.0392500299795636
34,1.5174252145026,0.37145,1.73255785680909,0.3765,0.0388684952959428
35,1.51207776614815,0.37881,1.72726034903625,0.3803,0.0390731689745057
36,1.4927890183392,0.38229,1.72192001000445,0.3777,0.0389968192398184
37,1.47894407272143,0.38618,1.74143932026778,0.3785,0.0389501841173346
38,1.46050109621898,0.39695,1.6935891052156,0.3889,0.0388747016071211
39,1.44033417937364,0.40334,1.68713170714896,0.4033,0.0389923704795838
40,1.4241125927434,0.41364,1.65652140148994,0.4086,0.0391209508979862
41,1.41424832414879,0.41848,1.61928771897472,0.4167,0.0389091158877373
42,1.39369560468751,0.42542,1.59502249306493,0.4265,0.0389809357193789
43,1.39109248905683,0.43439,1.60243858058454,0.411,0.0391325251836666
44,1.36292317655759,0.43766,1.57041850654829,0.4248,0.039015191051012
45,1.34571956877999,0.44629,1.52944923578999,0.4456,0.0389671723265026
46,1.32683476851945,0.45689,1.51846977610424,0.4544,0.0389870115663403
47,1.32030055359609,0.46586,1.56863440192523,0.4343,0.0389193188673753
48,1.3017494293749,0.46877,1.47305540327239,0.4632,0.0389498638979947
49,1.27906749250661,0.47886,1.45038385378399,0.4763,0.0389058158724515
50,1.26187260962532,0.48685,1.46845308667018,0.4668,0.0389671173928927
51,1.24261288268977,0.49679,1.44115079212701,0.4752,0.0389850910051067
52,1.21807224394996,0.50615,1.42592809595346,0.4832,0.0391733451275258
53,1.19687096873223,0.51909,1.39356497582721,0.5009,0.0392730911071804
54,1.17386012215062,0.52847,1.35843360802371,0.5202,0.0391764751734163
55,1.16677924131055,0.53678,1.38633086340557,0.5194,0.0393993929693556
56,1.14901948600592,0.53833,1.33223700113434,0.5319,0.0391713167448694
57,1.12759904324026,0.55213,1.34748698485075,0.5414,0.0389018245408648
58,1.11052463506232,0.55949,1.4172282492905,0.4963,0.0391364869745034
59,1.09648393466042,0.56606,1.3752549261322,0.5418,0.0392873301581756
60,1.12393259049349,0.5768,1.76579733702391,0.3048,0.0393901511173198
61,1.50065464806356,0.38362,1.52213583957285,0.4468,0.0391550389744949
62,1.28790178745711,0.4799,1.37885987078503,0.4905,0.039128174969401
63,1.22437840925294,0.51176,1.35618202743524,0.5074,0.0389041517398477
64,1.1820399680495,0.5339,1.28557402992186,0.5248,0.0391266373469256
65,1.1449452203119,0.54477,1.2840849164606,0.5244,0.0390775819846892
66,1.11811556787967,0.55454,1.26282510129714,0.5382,0.0389957609846459
67,1.1064178225641,0.55854,1.26373703702471,0.5296,0.0391133923214316
68,1.08469383863865,0.57253,1.20306586801974,0.5584,0.0390599755306186
69,1.06274704456765,0.58022,1.19036539318891,0.5557,0.0388751846734967
70,1.04693365167222,0.58835,1.20994931100017,0.5525,0.0388794862040933
71,1.03346139013376,0.59384,1.1333725217876,0.5785,0.0390817912295823
72,1.01894615470176,0.60174,1.17546437697816,0.5698,0.0388567333724801
73,1.00432623104653,0.60542,1.18259230936518,0.5657,0.0388212895917957
74,0.98844285506838,0.61376,1.15414184949694,0.5742,0.03901495217853
75,0.980523846219411,0.61765,1.13335642647466,0.5799,0.0392233355918349
76,0.965939800044264,0.62801,1.10865426514935,0.5955,0.0388494899592082
77,0.954506057986675,0.63003,1.09809901643576,0.5994,0.0388518712244632
78,0.941858470503356,0.63541,1.08461105932527,0.602,0.038795994943851
79,0.92365380220026,0.64788,1.07787559516229,0.6085,0.038805514137744
80,0.901604083681611,0.65135,1.06451246394544,0.6154,0.0390816293316508
81,0.89218004763919,0.66052,1.00004480003425,0.6367,0.0392952855612126
82,0.887264153931434,0.65755,1.00714674136672,0.6354,0.039039158540822
83,0.867047924286535,0.67269,1.01753115063823,0.6372,0.0390643984387633
84,0.858518281261243,0.67635,1.00241413947649,0.6325,0.0389414164540688
85,0.850173365574304,0.67626,1.0114473957855,0.6372,0.0392013705816179
86,0.836244787665152,0.68119,0.995848788722138,0.6313,0.0388594216939027
87,0.825410031735397,0.68843,1.02084449857136,0.6215,0.0387542844234898
88,0.811225966436504,0.69357,0.919182626677841,0.6686,0.0389307729744907
89,0.800506022818027,0.69918,0.96592364177155,0.6498,0.0392756559540755
90,0.776358031148054,0.7101,0.941809581683184,0.6519,0.0388674895663352
91,0.770348420768369,0.71375,0.897932235805708,0.663,0.039169463050967
92,0.760288125977213,0.71494,0.899937912636706,0.6611,0.0390704584081374
93,0.742348954105454,0.72364,0.918734961053686,0.6621,0.0389547991632233
94,0.731619283390216,0.72468,0.883270112886591,0.683,0.0391664529898263
95,0.711268998699141,0.73456,0.934307826931138,0.6608,0.0391379920714297
96,0.705756653936494,0.73563,0.833485782443129,0.6996,0.0388489115918293
97,0.698807050013765,0.74323,0.834504671383796,0.7059,0.0389726149847051
98,0.685828084989641,0.74739,0.809286710438225,0.7136,0.0388778796683459
99,0.672058008688191,0.75353,0.81538739978542,0.7003,0.0393041373826032
100,0.655769651363923,0.75668,0.811894070989061,0.713,0.0390848850253433
101,0.634388040017605,0.7671,0.77994734990365,0.7206,0.0389288032449759
102,0.627808036605115,0.77025,0.762196482684705,0.7297,0.0389927361376921
103,0.613574800289266,0.7785,0.777270497579869,0.7191,0.0390673713009907
104,0.602786991415064,0.77975,0.797266609095364,0.7134,0.0390306198673062
105,0.591399212036667,0.78266,0.738220062508899,0.7434,0.0391944022500532
106,0.589799319318734,0.78756,0.750414567458041,0.7288,0.0392757507347132
107,0.572242399016345,0.79142,0.773004975636798,0.7213,0.0392416858571592
108,0.559989987194312,0.79922,0.737748277487839,0.7355,0.0392948250000978
109,0.558153207343797,0.79905,0.684422214446604,0.759,0.0391532164387302
110,0.53104161210336,0.80935,0.659816337414297,0.7682,0.039169457800997
111,0.527566269747731,0.81042,0.665775648248121,0.7641,0.0390397016070874
112,0.51441502589781,0.81641,0.647331932966499,0.765,0.0389764844592218
113,0.505086295716127,0.81772,0.649101328340476,0.7664,0.0391047138724964
114,0.491190623928791,0.82977,0.640441144790527,0.7674,0.0389699088825869
115,0.483043765980551,0.82752,0.630192598063977,0.7763,0.0392074618723608
116,0.473068640809288,0.83046,0.630686644967796,0.7831,0.0392061348928908
117,0.459960648755188,0.83954,0.612196010953178,0.7823,0.0392364281582355
118,0.449770750081409,0.84266,0.622434162200804,0.7778,0.0391343154081703
119,0.442255154462968,0.84429,0.613424728275019,0.787,0.039422222051051
120,0.438554255430214,0.84414,0.60389013644069,0.7922,0.039238947663372
121,0.426875350592045,0.84892,0.610987764002988,0.7958,0.0390245201020495
122,0.416682634090302,0.85314,0.56309429810107,0.8065,0.0391229654234886
123,0.406220666753891,0.86008,0.552385634748171,0.8127,0.0391643998163072
124,0.406623358108423,0.85804,0.535303649416341,0.8238,0.0393248846224623
125,0.393393495805061,0.8673,0.548875041442142,0.8122,0.0392428045510389
126,0.376926455132266,0.87059,0.584620782050078,0.7934,0.039236939790777
127,0.373096074149927,0.87246,0.541964442924928,0.8116,0.039043844872511
128,0.362573471660364,0.88001,0.573155881785578,0.8157,0.0393154353825724
129,0.357950429109208,0.87917,0.501563866152327,0.8345,0.0389219006530803
130,0.349388171224076,0.88395,0.494622694083718,0.835,0.0390204728521579
131,0.336978074462134,0.89034,0.514152496473287,0.8222,0.0388820820205034
132,0.3289313689091,0.88971,0.492206228470355,0.8306,0.0389795241478206
133,0.317891981794072,0.89532,0.503790106287632,0.8334,0.0391149610612566
134,0.30806234987922,0.89883,0.462124055571225,0.8425,0.0390772799030633
135,0.304132156779922,0.89604,0.445133875754631,0.8569,0.039221564739791
136,0.291330843332067,0.90723,0.469545069746374,0.8476,0.0390162895203373
137,0.283216722176706,0.91275,0.474864870046234,0.8399,0.0389913718672966
138,0.275892070456125,0.91513,0.45065597537451,0.8501,0.0388448494183315
139,0.267194344964997,0.9151,0.461221324910592,0.8516,0.0388755024132479
140,0.265914744818862,0.91988,0.39850988169499,0.876,0.0389801623417934
141,0.253525668745661,0.92347,0.417294773766208,0.864,0.0391029420305836
142,0.237785409342402,0.92537,0.41907990615091,0.8634,0.0392243719948427
143,0.235808035026961,0.92768,0.443512336621028,0.8583,0.0390331807295705
144,0.231809876613929,0.9295,0.416554363440888,0.8733,0.039078147413318
145,0.21175938556589,0.93843,0.413015030525098,0.8781,0.0392458187755215
146,0.210566663722562,0.94158,0.381780378530743,0.8817,0.0391555113470086
147,0.207919580091373,0.94508,0.356468070952866,0.9005,0.0389440239183869
148,0.197253906397354,0.94321,0.375213269266803,0.8891,0.0390374608009273
149,0.182431152195909,0.9561,0.351856801509625,0.8969,0.0392272841122298
150,0.183324421484635,0.95007,0.399244759551141,0.8847,0.0392838820969663
151,0.17162484757858,0.95627,0.350774559078804,0.8999,0.0390405491683925
152,0.166838612441023,0.96019,0.313770486998976,0.9108,0.0389531236938285
153,0.152242030658293,0.96334,0.333149123567125,0.9092,0.0388336871938844
154,0.151137094526431,0.96438,0.313504499459097,0.9002,0.0391091821224368
155,0.143831027264377,0.96839,0.329589598435357,0.9032,0.0389356017092129
156,0.133539624804638,0.97284,0.335260544341222,0.9032,0.0389446241887972
157,0.12992832224974,0.97533,0.332985405381698,0.9052,0.0390231399182901
158,0.123587221713354,0.9794,0.28887460674895,0.9178,0.039221589744863
159,0.102288111233245,0.98587,0.303050777565751,0.9034,0.039125445163243
