epoch,loss,accuracy,val_loss,val_acc,opt_time
0,1.57919674929307,0.41984,1.39534639120102,0.4865,0.00438903569393377
1,1.35337125464362,0.50148,1.33495416800706,0.51,0.00437887698472525
2,1.30543727838263,0.5209,1.2801162984118,0.5303,0.00435358965306681
3,1.2576583563065,0.53982,1.2188665570963,0.5524,0.00436027308168544
4,1.20349103333999,0.56168,1.15371971438649,0.5732,0.0043463376887674
5,1.15808150081002,0.57968,1.09937005666795,0.592,0.00436538978566409
6,1.11349588054783,0.59818,1.04268487164001,0.6061,0.00437409823462076
7,1.07175138258204,0.61406,0.992553574778948,0.6252,0.00436077732653145
8,1.0359341350137,0.62676,0.959802021369735,0.6373,0.00436330745408352
9,0.998870574089946,0.64216,0.927181498484627,0.6509,0.0043668513061007
10,0.974148903270157,0.65236,0.88153798015296,0.6665,0.00436122857651326
11,0.946040786346611,0.66046,0.843878485106993,0.6799,0.00440578001025085
12,0.925045649007875,0.67058,0.836901439369486,0.6837,0.00432575088780141
13,0.896157529889321,0.68186,0.816201454649383,0.69,0.00436128674486173
14,0.877435979186272,0.68708,0.796223312957804,0.6962,0.0043737151938646
15,0.855395962085043,0.69572,0.781510926757193,0.6999,0.00431062701535462
16,0.837556932957805,0.70316,0.757688519727022,0.7061,0.00434759579599015
17,0.820126098029468,0.70828,0.759289899401232,0.7126,0.00436967496936483
18,0.801847635787361,0.7162,0.740239068064356,0.7183,0.00435590297456656
19,0.788896886973965,0.72238,0.680982423296344,0.7381,0.00435800104581603
20,0.770866901898871,0.72668,0.670449105833839,0.7402,0.00432640885216587
21,0.756051584165923,0.73152,0.682004167772914,0.7368,0.00434116190820774
22,0.739514666248341,0.73874,0.677240324469964,0.7378,0.00438047235711194
23,0.72615094787004,0.74502,0.643632466595414,0.7525,0.00438714284184837
24,0.712861343153885,0.74804,0.633606695486425,0.754,0.00435858481123618
25,0.699697432773454,0.75202,0.613767351718609,0.7593,0.00436462240304536
26,0.689498484742885,0.75558,0.577127953377529,0.7721,0.00433462261730246
27,0.680524387225813,0.75836,0.626647007366485,0.7573,0.0043910411530361
28,0.661692713900488,0.7659,0.631688192115948,0.7605,0.00436452545924409
29,0.654142458067865,0.76958,0.585190633254541,0.774,0.0043734585357776
30,0.643645494416052,0.77452,0.577470988633594,0.7749,0.00436876854073675
31,0.629988739381031,0.77834,0.576761464215465,0.7798,0.00472751830107065
32,0.620788319682588,0.77982,0.554147062878732,0.7811,0.00434042103060332
33,0.61252591850198,0.78404,0.563225636009073,0.7842,0.00436573106615432
34,0.601642487304551,0.78636,0.530222038883183,0.7949,0.00433214265805353
35,0.595882886222431,0.79166,0.525570976916258,0.7928,0.00433873461221009
36,0.582550458001847,0.79538,0.50471896541985,0.7943,0.00431772393372108
37,0.578454487633948,0.79612,0.539424017509178,0.7952,0.00436590425517946
38,0.562210488380218,0.80128,0.515322770633881,0.7986,0.00436216513265449
39,0.559707645706985,0.80268,0.493840827226299,0.8045,0.00438949367862176
40,0.550176282774429,0.8057,0.50178809773483,0.7999,0.00434384579092489
41,0.540160874627074,0.81096,0.490736770802022,0.8077,0.00437206813778027
42,0.537241859551595,0.8118,0.513527528053895,0.7986,0.00436210474987204
43,0.527237395698927,0.8154,0.486018595981379,0.8109,0.00433392974481445
44,0.51859584694006,0.817,0.489718107145028,0.8066,0.00437700659186907
45,0.510392197996986,0.82176,0.488748339829033,0.8054,0.00437670058153697
46,0.506068924251868,0.82098,0.453289224473114,0.8181,0.00440083705102645
47,0.502098357190891,0.82254,0.497791791616207,0.8105,0.00434839608143583
48,0.490710894368133,0.82532,0.471431354072318,0.8177,0.00437764168361113
49,0.486146629616922,0.82782,0.450997076036922,0.8212,0.0043818026323959
50,0.480661647660392,0.83142,0.478644738348527,0.8158,0.00437068865320892
51,0.472663207017646,0.8336,0.450480396920526,0.8229,0.00437405429594798
52,0.46466542704373,0.83546,0.465879448791594,0.8214,0.00439882186208483
53,0.462915713537712,0.83666,0.454380590804194,0.8218,0.00433784063775698
54,0.451206341689947,0.84118,0.447876194136642,0.8283,0.00433578096431584
55,0.444534041139544,0.84412,0.45392263864399,0.824,0.00436168792327166
56,0.439747942041378,0.845,0.443756848953179,0.8291,0.00438825257131203
57,0.434589852027747,0.84676,0.443249295597801,0.8271,0.00439198973987116
58,0.428741416608801,0.85018,0.463635050724876,0.8249,0.00436448853045532
59,0.426117014672075,0.85006,0.473123979686926,0.8245,0.00437649264294661
60,0.421013666202827,0.85198,0.438520671664096,0.8275,0.00437833686748713
61,0.416155428758689,0.85458,0.422900223229269,0.8347,0.00437892175009159
62,0.407211375327743,0.8566,0.42107263437769,0.8341,0.00438364023470132
63,0.404277757874557,0.85794,0.452592060676557,0.8291,0.0043565390457973
64,0.397275233299148,0.86164,0.428864561560962,0.8375,0.00439470576027964
65,0.39235582263494,0.85968,0.434929192239625,0.8353,0.00436401264809951
66,0.388512210426282,0.86396,0.427491960747722,0.8351,0.0043615468011736
67,0.380535661566014,0.8663,0.425927168139931,0.8366,0.00437996383159919
68,0.374585266928284,0.86832,0.427960562741051,0.8394,0.00438207093383407
69,0.368739828771474,0.8709,0.449344524416344,0.8335,0.00437785909187889
70,0.369666004515424,0.87068,0.442060484343904,0.8357,0.00441602279077378
71,0.363709776225139,0.87368,0.448988127272346,0.8393,0.00438341797955069
72,0.35506746857142,0.87502,0.45219657913512,0.8373,0.0044097671428118
73,0.355536165894294,0.87508,0.433388483705474,0.8397,0.00434288339284667
74,0.345996699390971,0.87868,0.415569130639668,0.8416,0.00438105364810326
