epoch,loss,accuracy,val_loss,val_acc,opt_time
0,2.05577044341029,0.30412,1.68469096124172,0.3711,1.17586477476006
1,1.63657956298089,0.37902,1.63488038016991,0.3936,1.1808967628113
2,1.60025588567966,0.3931,1.59161720220664,0.4065,1.18308578272976
3,1.55931169882657,0.4087,1.53715146087619,0.4234,1.18183824943371
4,1.51107441814465,0.42588,1.48245934822522,0.4392,1.18359031928076
5,1.46566626048278,0.44658,1.41569973090105,0.4655,1.18157217697966
6,1.41459941911746,0.46814,1.3549322844692,0.4867,1.18192554579601
7,1.36514277235257,0.49051,1.3014708265941,0.5085,1.18189912198966
8,1.31099352831276,0.51445,1.2372931818158,0.5282,1.18018171624493
9,1.25719918907855,0.53784,1.17848881911896,0.5512,1.18317974178066
10,1.21250757148679,0.55871,1.10278150361183,0.585,1.18123524369897
11,1.1659468551122,0.57755,1.0591024450347,0.596,1.18280660008687
12,1.12646458154955,0.5935,1.01978744588397,0.6092,1.18107553595922
13,1.08966580476222,0.60741,0.989027584887287,0.6213,1.18200314888774
14,1.05967038206331,0.61856,0.950737958865619,0.639,1.18231708867361
15,1.03111189606658,0.62928,0.908445756663718,0.6515,1.18093635267839
16,1.00414146631495,0.64293,0.888572822904767,0.6593,1.18138676567354
17,0.977097697829435,0.65476,0.864001055963596,0.6707,1.18346597048474
18,0.959666850795549,0.66075,0.815642866648171,0.6904,1.18291450737255
19,0.934137192147871,0.67247,0.82040287737219,0.6879,1.1828545546734
20,0.913099923341025,0.68219,0.78766859138724,0.6954,1.1824515700662
21,0.896901366962564,0.68624,0.774352419220445,0.7096,1.18162850451538
22,0.880978005953421,0.69258,0.767948472685479,0.7038,1.18281611390303
23,0.859866097195259,0.70148,0.720048579656658,0.7225,1.18088371867842
24,0.845774909894425,0.70697,0.729212189400397,0.7144,1.1822467560613
25,0.826620446973845,0.71459,0.711684316756465,0.72,1.18136737585196
26,0.815795509344142,0.71677,0.710601568560394,0.7309,1.18173920109702
27,0.798819364399313,0.7242,0.671672332721697,0.7341,1.18144909221925
28,0.786575107748247,0.72955,0.667944865237668,0.7405,1.18238935443373
29,0.774541899701573,0.73352,0.648788467558471,0.7479,1.18145814785722
30,0.760424651349198,0.73925,0.645288257614994,0.7463,1.18086908846433
31,0.749844758793538,0.74282,0.650728426858566,0.7524,1.18283001263271
32,0.738174611187255,0.74713,0.620603224662951,0.7629,1.18409370426007
33,0.728538875148883,0.75295,0.623385690904166,0.7645,1.18133589531129
34,0.718869958412092,0.7561,0.592187807972136,0.7759,1.18055949119395
35,0.707348703944238,0.7596,0.592463089185841,0.7787,1.18068257338783
36,0.695730033026111,0.76526,0.594682954586623,0.7768,1.18202422913766
37,0.688476523145849,0.76779,0.577048473216758,0.7838,1.18263296308678
38,0.681235618593112,0.76729,0.56575825914274,0.7873,1.18009160321435
39,0.672019335778333,0.77352,0.559785036816495,0.7931,1.1813878557599
40,0.658895538893488,0.77943,0.54440715289563,0.8005,1.18127916700497
41,0.651445866502527,0.78057,0.545684127438921,0.7983,1.18178784893866
42,0.647261128715152,0.78005,0.545883746730491,0.7986,1.18222310290314
43,0.64149225149259,0.78485,0.528927556909962,0.804,1.18124017235222
44,0.630008870138993,0.78928,0.50529587564445,0.8124,1.1810619723365
45,0.618023483391307,0.79538,0.535016666095145,0.8019,1.18067416239278
46,0.610438231622352,0.79645,0.49599878934642,0.8186,1.17914976895376
47,0.601939976379042,0.79865,0.509398516701839,0.8108,1.1828042369897
48,0.595994881490609,0.80255,0.504442911306857,0.8163,1.1836970586785
