epoch,loss,accuracy,val_loss,val_acc,opt_time
0,1.6139196279097576,0.45452,1.3254485458135605,0.5184,0.05560533122448988
1,1.255511195683966,0.5479,1.3044342339038848,0.5252,0.05562672901530642
2,1.2228148993180723,0.56128,1.2859661340713502,0.5348,0.05577750611224449
3,1.1906589014189584,0.57352,1.2674924612045289,0.5427,0.05579920173979517
4,1.1510641380232207,0.58678,1.2510880380868912,0.5507,0.055727816903061285
5,1.1135013596135743,0.6027,1.2345979303121566,0.5585,0.055820508285714866
6,1.0710318024669374,0.61878,1.2242602318525315,0.5693,0.05564199493877627
7,1.0260157320572405,0.63494,1.2130499184131622,0.5721,0.05566699235714478
8,0.9789052593464754,0.65486,1.2103112429380416,0.5787,0.0558498006326537
9,0.9295965475695473,0.67254,1.2061949610710143,0.5784,0.055765744423469564
10,0.8773838841185277,0.6936,1.2180424153804779,0.583,0.05582712887244919
11,0.8269319114636402,0.71258,1.2258527874946594,0.5835,0.05583560988775453
12,0.7727515785669794,0.73496,1.2433604836463927,0.5815,0.05583911216836717
13,0.7222921078910634,0.75498,1.2702547043561936,0.5792,0.0557933695051015
14,0.669916787317821,0.77396,1.2912725865840913,0.5804,0.0558318972653072
15,0.6155029620443072,0.79456,1.3241327822208404,0.5795,0.05577350510714389
16,0.5687117862458132,0.81176,1.3621689260005951,0.5742,0.05578830119897798
17,0.5193934063522183,0.83154,1.395713284611702,0.5751,0.05581475140305876
18,0.47617597984416143,0.84896,1.4462599217891694,0.5727,0.0557960981938788
19,0.4310720898971266,0.86544,1.4862202107906342,0.572,0.05583147898469451
20,0.38761413112586857,0.88214,1.536057886481285,0.5694,0.055653147423466505
21,0.3522366178126968,0.895,1.5798716723918915,0.5727,0.05582988658673368
22,0.3155941981442121,0.90892,1.6327141493558883,0.5691,0.05582699149489569
23,0.2838136552243817,0.92114,1.679271012544632,0.5682,0.055854357943878614
24,0.2596607269073019,0.93034,1.7192735344171524,0.5658,0.055819631872448004
25,0.23238756971395746,0.9399,1.7699138462543487,0.5658,0.05565255453061129
26,0.2080124395386297,0.94862,1.8108834028244019,0.5641,0.05585563428061498
27,0.19010825246116336,0.9545,1.8558860391378402,0.5623,0.055745069153062744
28,0.16972482474330736,0.96172,1.894909679889679,0.562,0.0558098230000024
29,0.1540747443023993,0.96772,1.9353076696395874,0.5611,0.0558180233979604
30,0.13947926944463837,0.97184,1.9737558543682099,0.5599,0.056239084459182395
31,0.12758841156503375,0.97604,2.008893686532974,0.5622,0.05588965354591632
32,0.11770912358651356,0.97828,2.0348107874393464,0.5633,0.05580338753571301
33,0.10729027661133786,0.98116,2.0691317439079286,0.5615,0.05577416223979285
34,0.09752231076055644,0.98422,2.101587200164795,0.5596,0.05577033458673401
35,0.08939687649206239,0.98654,2.1329053372144697,0.5621,0.05573399961734857
36,0.08352457199777875,0.98764,2.154823526740074,0.5606,0.0557563606836688
37,0.07470325604841417,0.99068,2.1859448462724687,0.559,0.055718980071431744
38,0.06908693989472729,0.99172,2.212056112289429,0.5589,0.05584668334183812
39,0.06175536078838061,0.99374,2.2365878522396088,0.5603,0.05570050288775162
40,0.06072521312352346,0.99336,2.2583134353160856,0.5593,0.055887564698981367
41,0.05631833242214456,0.9941,2.283168759942055,0.5591,0.05584756146428406
42,0.05190059221444689,0.99486,2.3101470142602922,0.5571,0.0556540762602004
43,0.048681633423405646,0.99538,2.3318731755018236,0.5588,0.05568985829081229
44,0.04591595189531847,0.9956,2.352697452902794,0.5577,0.055661018142861084
45,0.041732995970440764,0.99662,2.3728441298007965,0.5569,0.05578706987755282
46,0.0425829735907669,0.99612,2.3922835916280745,0.5583,0.05582236434183498
47,0.037769701626455904,0.9969,2.419310599565506,0.5573,0.0558524146071405
48,0.03630338706152172,0.99716,2.4330443650484086,0.5584,0.05582745054591808
49,0.03420859881277595,0.99752,2.448679378628731,0.5558,0.05582684501019703
50,0.034027666756313066,0.9972,2.470465695858002,0.5559,0.05567815147959401
51,0.029157130627379735,0.99828,2.4869662523269653,0.5577,0.05585544798469465
52,0.02893570738331396,0.99824,2.5033877372741697,0.5583,0.05586407451530286
53,0.027040160560448254,0.99848,2.521434408426285,0.5582,0.05588760529592004
54,0.02581924459973008,0.99852,2.539224535226822,0.5591,0.055686845928572294
55,0.024383647509907583,0.9987,2.560952401161194,0.5577,0.05573866730611947
56,0.02312614102087611,0.99888,2.5759815871715546,0.5576,0.055885537933679716
