epoch,loss,val_loss,opt_time
0,88842.07421875,86066.528125,0.002513692274999357
1,85822.5548828125,84631.94609375,0.0024968250499981083
2,84843.801953125,84316.98125,0.0025004309750002564
3,84437.1466796875,84052.09453125,0.0024964697499925137
4,84201.66953125,83822.74375,0.0024933857499931378
5,84061.5443359375,83541.640625,0.002496213749999754
6,83863.1912109375,83297.8875,0.0024962197999983003
7,83721.21171875,83166.6421875,0.002493426825000711
8,83549.837109375,83075.03359375,0.0024946565000007583
9,83391.902734375,82947.23359375,0.0024942107750007382
10,83292.856640625,82890.62734375,0.002495340549997138
11,83203.823828125,82905.2203125,0.0024944485500014934
12,83167.7421875,82907.290625,0.0024967617499982
13,83112.983203125,82877.159375,0.0024944255750000365
14,83049.5509765625,82782.43046875,0.0024965150249997236
15,82906.5259765625,82505.44453125,0.0024964065000034454
16,82696.4869140625,82415.221875,0.002497385550002207
17,82642.173828125,82377.15546875,0.0025016749999991817
18,82554.1890625,82287.7265625,0.002497596549997638
19,82488.441015625,82260.91796875,0.0024981472749999512
20,82149.756640625,81869.16796875,0.002493502550004223
21,81981.971875,81847.2640625,0.0024947640249962434
22,81946.524609375,81826.49140625,0.0024943715999967255
23,81930.4828125,81818.696875,0.0024936449999998444
24,81913.295703125,81802.51953125,0.0024998529999976427
25,81894.856640625,81792.2578125,0.0024956692249986645
26,81880.262109375,81782.296875,0.0024975778500021307
27,81870.2783203125,81776.09375,0.0024970014750024918
28,81859.9712890625,81764.3234375,0.00249556205000232
29,81848.33203125,81757.8765625,0.0024972792500037146
30,81783.7240234375,81735.93515625,0.002496310249999567
31,81771.126171875,81727.12890625,0.002493553050001651
32,81765.3763671875,81724.01796875,0.0024972071000021858
33,81761.9419921875,81722.54609375,0.002497492975003013
34,81759.74140625,81720.41328125,0.002492652750007096
35,81758.0607421875,81718.98515625,0.002491245325005309
36,81756.728515625,81718.94296875,0.0024941388000058852
37,81755.7046875,81718.2546875,0.0024954690250041265
38,81754.42421875,81717.478125,0.002495351775007748
39,81753.126953125,81717.21953125,0.0024967832499982025
40,81752.0849609375,81715.98203125,0.0024964610750089376
41,81750.8076171875,81715.440625,0.002492936474993712
42,81749.5982421875,81714.11640625,0.002496819000006667
43,81748.235546875,81713.12265625,0.002493275524989258
44,81747.06796875,81712.57265625,0.002494052199995167
45,81745.8375,81711.77109375,0.002495779775000528
46,81744.841015625,81710.771875,0.002496575550003399
47,81743.93671875,81710.16640625,0.002497396625000192
48,81743.1935546875,81709.03671875,0.0024946451000062097
49,81742.2482421875,81708.4546875,0.002492869750003024
