epoch,loss,val_loss,opt_time
0,88197.1259765625,88970.53671875,0.00028344730000640084
1,87751.35703125,88442.4375,0.0002764965999915603
2,87617.625390625,88232.078125,0.0002763495500147428
3,87241.4779296875,87770.784375,0.0002763897999955134
4,86860.9671875,87513.4359375,0.00027621854999324567
5,86910.9998046875,87425.2203125,0.00027833334999911586
6,86563.74921875,87093.99921875,0.00027715807500783285
7,86217.0697265625,87143.84765625,0.0002765568000057783
8,85879.153125,87053.94296875,0.00027642887500007874
9,85676.6443359375,86500.82421875,0.0002758205999867869
10,85403.2310546875,86120.9546875,0.0002763937999930022
11,85201.378515625,85920.78515625,0.00027668462499264024
12,85043.5708984375,86003.521875,0.00027669229998821264
13,84933.726171875,85927.63984375,0.0002768268749974823
14,84807.9908203125,85735.56484375,0.0002764657999961173
15,84704.1279296875,85763.26953125,0.0002773315749976746
16,84665.7576171875,85523.3921875,0.0002761481000050026
17,84588.8638671875,85471.81015625,0.00027671329999918727
18,84540.014453125,85507.20234375,0.0002764763750036536
19,84502.3041015625,85459.934375,0.00027661734999355757
20,83979.3763671875,84803.78046875,0.0002770962749991668
21,83865.5884765625,84776.721875,0.0002777136000048586
22,83847.464453125,84760.6265625,0.0002763511249952444
23,83834.671484375,84748.28984375,0.0002763345999824196
24,83824.8517578125,84738.39765625,0.00027669709999429416
25,83815.5666015625,84727.46328125,0.00027669217498953457
26,83807.2275390625,84719.45078125,0.0002766097999995054
27,83799.1353515625,84711.3828125,0.0002763133000030393
28,83791.06328125,84702.2953125,0.00027772990000585196
29,83783.5005859375,84694.80859375,0.0002762556000021732
30,83754.6619140625,84677.07265625,0.0002765508249922277
31,83743.2607421875,84670.884375,0.0002765335750098075
32,83739.539453125,84667.6765625,0.00027717754999514457
33,83737.587890625,84665.775,0.00027612334999957964
34,83736.099609375,84664.36484375,0.0002768471249993354
35,83734.9275390625,84663.51171875,0.0002773938749925264
36,83733.83671875,84662.65234375,0.0002771408000029396
37,83733.0455078125,84661.44453125,0.00027649980001172026
38,83731.9484375,84660.6484375,0.00027689054999768814
39,83731.075390625,84659.47578125,0.0002764068500027861
40,83730.0345703125,84658.471875,0.00027654557501080037
41,83729.225,84657.75703125,0.0002765625750100753
42,83728.3345703125,84656.83515625,0.0002772663499854389
43,83727.4111328125,84656.03125,0.000275899850007022
44,83726.574609375,84655.12734375,0.00027722602499693496
45,83725.6111328125,84654.21484375,0.00027610435000724465
46,83725.036328125,84653.28671875,0.0002765430999943419
47,83723.86796875,84652.10234375,0.0002763215750036352
48,83722.9966796875,84651.19375,0.0002764918499906344
49,83722.2205078125,84650.52421875,0.0002768866750102461
50,83721.408203125,84649.521875,0.0002767482999956883
51,83720.57109375,84648.7359375,0.0002756726249941721
52,83719.77734375,84647.90703125,0.00027638997499650485
53,83718.8876953125,84646.659375,0.0002764258500064898
54,83718.21171875,84645.83671875,0.00027705182500028516
55,83717.363671875,84644.97421875,0.0002762473250044195
56,83716.641015625,84643.8046875,0.00027622787500263256
57,83715.804296875,84642.7328125,0.00027736307499424127
58,83714.8544921875,84642.2171875,0.00027625342499959515
59,83714.0533203125,84641.00859375,0.00027740432500138467
60,83713.1189453125,84640.13515625,0.00027772547499296254
61,83712.096875,84638.9484375,0.0002766683750053289
62,83711.2005859375,84638.228125,0.0002768273749978789
63,83710.469140625,84637.58984375,0.000276929550008731
64,83709.5744140625,84636.77109375,0.00027641437499426047
65,83708.6326171875,84635.52734375,0.0002773040250048098
66,83707.7650390625,84634.3453125,0.0002758826000075487
67,83707.0232421875,84633.26796875,0.00027635459999828524
68,83706.001953125,84632.38828125,0.000276411099997631
69,83705.1259765625,84631.11171875,0.00027672777499674337
70,83704.321875,84630.5453125,0.0002757658999939849
71,83703.6154296875,84629.70390625,0.0002760239000110687
72,83702.862890625,84628.87109375,0.0002780413000095905
73,83702.152734375,84628.321875,0.00027660179999031695
74,83701.256640625,84627.62578125,0.00027643764998970256
75,83700.455859375,84626.71953125,0.00027596834999883414
76,83699.6814453125,84625.67578125,0.0002763250250012561
77,83699.0203125,84624.45625,0.0002767785249858434
78,83698.2560546875,84623.53828125,0.00027712137499804614
79,83697.427734375,84622.95234375,0.0002772435499991843
80,83696.631640625,84622.06953125,0.0002765473250008199
81,83695.9919921875,84620.9671875,0.00027720539999052105
82,83695.2279296875,84619.73203125,0.0002765912999933562
83,83694.55390625,84618.85703125,0.00027662687500082936
84,83693.76640625,84618.00234375,0.0002757933000026469
85,83693.0513671875,84617.16875,0.0002767157999983283
86,83692.2802734375,84616.134375,0.0002762123750017054
87,83691.5884765625,84615.42421875,0.00027761435000286385
88,83691.0447265625,84614.76953125,0.0002768910499952426
89,83690.280078125,84613.83828125,0.00027625065000620453
90,83689.656640625,84612.78984375,0.00027624432499351315
91,83688.9138671875,84612.10625,0.0002764905750012758
92,83688.324609375,84611.2609375,0.00027730905000282745
93,83687.571484375,84610.453125,0.00027599504998647716
94,83687.0169921875,84609.24609375,0.0002791265750062166
95,83686.3251953125,84608.684375,0.0002773500250043526
96,83685.8220703125,84607.7890625,0.0002768476250025742
97,83685.1048828125,84607.2265625,0.0002768461499982777
98,83684.4361328125,84606.54609375,0.00027697007499227766
99,83683.828125,84606.11875,0.0002769713499930049
100,83683.1802734375,84605.35078125,0.00027695709999591144
101,83682.741796875,84604.1140625,0.00027613437500804137
102,83682.054296875,84603.42109375,0.0002770625749946021
103,83681.3845703125,84602.8484375,0.0002768907999922021
104,83680.7732421875,84601.75703125,0.00027673559998504517
105,83680.1216796875,84601.26328125,0.0002769905249863314
